338,0.305,3.127,1.283,-0.186,1.47,0.238,0.514
339,0.316,3.126,1.284,-0.187,1.471,0.236,0.513
340,0.314,3.125,1.284,-0.19,1.471,0.233,0.511
341,0.3,3.124,1.282,-0.193,1.469,0.229,0.508
342,0.221,3.123,1.281,-0.197,1.468,0.225,0.505
343,0.225,3.122,1.28,-0.2,1.468,0.223,0.503
344,0.232,3.121,1.281,-0.201,1.469,0.221,0.503
345,0.233,3.12,1.283,-0.202,1.471,0.222,0.504
346,0.227,3.12,1.286,-0.201,1.474,0.223,0.506
347,0.221,3.119,1.289,-0.201,1.477,0.224,0.508
348,0.46,3.12,1.29,-0.201,1.479,0.224,0.508
349,0.463,3.12,1.291,-0.204,1.481,0.223,0.508
350,0.458,3.122,1.29,-0.207,1.481,0.221,0.506
351,0.449,3.124,1.289,-0.211,1.481,0.218,0.504
352,0.444,3.126,1.288,-0.214,1.481,0.215,0.502
353,0.444,3.128,1.287,-0.217,1.482,0.213,0.5
354,0.652,3.13,1.289,-0.219,1.485,0.213,0.501
355,0.644,3.132,1.292,-0.219,1.49,0.214,0.503
356,0.629,3.134,1.295,-0.218,1.496,0.215,0.506
357,0.62,3.135,1.299,-0.218,1.501,0.217,0.508
358,0.622,3.136,1.301,-0.219,1.506,0.217,0.51
359,0.627,3.138,1.303,-0.221,1.509,0.216,0.51
360,0.3,3.138,1.302,-0.225,1.51,0.214,0.509
361,0.291,3.139,1.301,-0.229,1.511,0.21,0.506
362,0.281,3.139,1.3,-0.234,1.511,0.206,0.504
363,0.279,3.139,1.299,-0.238,1.511,0.202,0.501
364,0.283,3.138,1.299,-0.24,1.513,0.2,0.5
365,0.287,3.137,1.301,-0.242,1.515,0.198,0.5
366,0.22,3.136,1.304,-0.242,1.519,0.199,0.502
